CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
El Salvador,0.1327,0.1538,0.1774,0.2036,0.2323,0.2632,0.296,0.3299,0.3642,0.3979,0.4298,0.4589,0.4849,0.5073,0.5266,0.5442,0.558,0.5667,0.5711,0.5718,0.5696,0.5648,0.5565,0.5444,0.5292,0.5114
Equatorial Guinea,0.678,0.7293,0.7897,0.8695,0.9694,1.1,1.27,1.48,1.75,2.09,2.49,2.95,3.48,4.05,4.64,5.2,5.71,6.12,6.4,6.52,6.47,6.26,5.97,5.62,5.25,4.88
Eritrea,0.4669,0.6276,0.812,0.998,1.17,1.32,1.45,1.54,1.58,1.59,1.56,1.5,1.43,1.33,1.23,1.12,1.02,0.9346,0.8669,0.8109,0.7632,0.7207,0.686,0.658,0.6328,0.6083
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0.9096,1.17,1.49,1.86,2.29,2.76,3.25,3.74,4.2,4.61,4.95,5.2,5.36,5.44,5.45,5.42,5.35,5.22,5.04,4.83,4.61,4.4,4.2,4.04,3.9,3.76
Gambia,0.208,0.2423,0.2921,0.3678,0.4789,0.6299,0.8215,1.04,1.27,1.49,1.69,1.86,2,2.1,2.16,2.2,2.22,2.21,2.18,2.13,2.08,2.03,1.98,1.93,1.88,1.82
Georgia,0.0173,0.0202,0.0234,0.0271,0.0314,0.0361,0.0415,0.0476,0.0544,0.0621,0.0705,0.0798,0.0901,0.1016,0.1144,0.1294,0.1468,0.1665,0.1879,0.2116,0.2373,0.2645,0.2934,0.3242,0.356,0.3884
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
